StoreCode,lat,lon,HEAD,Area_manager,Supervisor,District,Main_City,City,Format,Growth_Phase,Status
P090,26.36859681,50.05849954,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Destination,Pipeline,Operating
P215,26.20294842,50.1888889,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Al-khober,Convenient,Organic,Operating
P216,26.41005809,50.11067428,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Organic,Operating
P217,26.44389133,50.08062817,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Destination,Organic,Operating
P218,26.36588857,50.06944708,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Organic,Operating
P229,26.42039455,50.02197454,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Organic,Operating
P237,26.29419824,50.21745074,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Al-khober,Convenient,Organic,Operating
P246,26.38181311,50.07096444,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Organic,Operating
P262,26.45962378,50.0612007,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Infant,Operating
P285,26.36745628,49.96436381,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Organic,Operating
P310,26.28362454,50.19985949,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Al-khober,Convenient,Child,Operating
P326,26.99640697,49.64519726,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Child,Operating
P353,26.36851032,50.12494007,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Plaza,Child,Operating
P365,26.43689126,50.08422219,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Child,Operating
P381,26.43689086,50.08422174,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Infant,Operating
P392,26.40843963,50.01500194,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Child,Operating
P408,26.36416874,50.09562551,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Infant,Operating
P422,26.37845667,50.04904304,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Infant,Operating
P439,26.38020647,50.00314656,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Infant,Operating
P442,26.30377749,50.17433263,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Al-khober,Plaza,Infant,Operating
P447,26.32892973,50.00441279,Diaa Jaber,Nour Saad,A. Abdul-Aty,East,Dammam,Dammam,Convenient,Infant,Operating
